Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Total.People,Serious.Fatal.Injuries,Serious.Fatal.Rate,Aircraft.Destroyed,Serious.Fatal,Injury.Rate,Destroyed
20001214X42478,Incident,LAX83IA149A,1983-03-18,"LOS ANGELES, CA",United States,LAX,LOS ANGELES INTL,Incident,Minor,Airplane,9VSQQ,Boeing,747,No,4.0,Turbo Fan,SCHD,Unknown,"Singapore Airlines, Ltd.",0.0,0.0,,588.0,VMC,Taxi,Probable Cause,04-12-2014,588.0,,,False,0.0,0.0,False
20001214X42331,Accident,ATL83FA140,1983-03-20,"CROSSVILLE, TN",United States,,,Fatal(1),Destroyed,Airplane,N9600W,Piper,PA-28-140,No,1.0,Reciprocating,,Personal,,1.0,1.0,,0.0,IMC,Cruise,Probable Cause,02-05-2011,2.0,2.0,,True,2.0,1.0,True
20001214X40033,Accident,MIA84LA182,1984-06-11,"FT. LAUDERDALE, FL",United States,FXE,FT. LAUDERDALE EXECUTIVE,Non-Fatal,Substantial,Airplane,N29994,Piper,PA-23-250,No,2.0,Reciprocating,,Personal,,0.0,0.0,,4.0,VMC,Approach,Probable Cause,13-09-2011,4.0,,,False,0.0,0.0,False
20001214X40407,Accident,MKC84FA197,1984-07-03,"WRIGHT, AR",United States,,,Fatal(1),Destroyed,Airplane,N4025,Piper,PA-18-150,No,1.0,Reciprocating,UNK,Aerial Application,,1.0,0.0,,0.0,VMC,Maneuvering,Probable Cause,15-12-2009,1.0,,,True,1.0,1.0,True
20001214X41706,Accident,ATL85FA072,1984-12-30,"DUBLIN, VA",United States,PSK,NEW RIVER VALLEY,Fatal(1),Destroyed,Airplane,N4963D,Cessna,182A,No,1.0,Reciprocating,,Skydiving,,1.0,0.0,,0.0,VMC,Maneuvering,Probable Cause,17-10-2016,1.0,,,True,1.0,1.0,True
20001214X35509,Accident,DEN85LA064,1985-01-14,"WAPITI, WY",United States,,,Non-Fatal,Destroyed,Airplane,N759WB,Cessna,182Q,No,1.0,Reciprocating,,Personal,,0.0,1.0,1.0,0.0,VMC,Maneuvering,Probable Cause,12-01-2016,1.0,,,True,1.0,1.0,True
20001214X36887,Accident,NYC85FA145B,1985-06-11,"BELMAR, NJ",United States,BLM,BELMAR MONMOUTH CO.,Fatal(1),Destroyed,Airplane,N4956B,Cessna,152,No,1.0,Reciprocating,,Instructional,,1.0,1.0,4.0,0.0,VMC,Takeoff,Probable Cause,08-04-2013,2.0,2.0,,True,2.0,1.0,True
20001214X37718,Accident,ATL85MA286,1985-09-29,"JENKINSBURG, GA",United States,,WEST WIND SPORT PARACHUTE,Fatal(17),Destroyed,Airplane,N551CC,Cessna,208,No,1.0,Turbo Prop,,Skydiving,,17.0,0.0,,0.0,VMC,Takeoff,Probable Cause,17-10-2016,17.0,,,True,17.0,1.0,True
20001213X33306,Accident,LAX86LA166,1986-04-08,"MESA, AZ",United States,FFZ,FALCON FIELD,Non-Fatal,Substantial,Airplane,N3872E,Piper,PA-23-250,No,2.0,Reciprocating,,Personal,,0.0,0.0,,2.0,VMC,Landing,Probable Cause,03-08-2011,2.0,,,False,0.0,0.0,False
20001213X33697,Accident,SEA86FA121A,1986-05-19,"MEAD, WA",United States,,,Fatal(2),Destroyed,Airplane,N6161M,Cessna,152,No,1.0,Reciprocating,,Instructional,,2.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,17-10-2016,2.0,,,True,2.0,1.0,True
20001213X26459,Accident,BFO88LA073,1988-08-07,"RACINE, WV",United States,CRW,YEAGER,Non-Fatal,Substantial,Airplane,N4873T,Piper,PA-28-180,No,1.0,Reciprocating,,Ferry,,0.0,0.0,1.0,0.0,VMC,Cruise,Probable Cause,02-05-2011,0.0,,,False,0.0,0.0,False
20001213X27392,Accident,CHI89FA035,1988-12-24,"MADISON, IN",United States,,,Fatal(2),Destroyed,Airplane,N5121J,Cessna,310R,No,2.0,Reciprocating,,Positioning,,2.0,0.0,,0.0,VMC,Approach,Probable Cause,04-09-2012,2.0,,,True,2.0,1.0,True
20001213X28948,Accident,NYC89FA177A,1989-07-30,"SALISBURY TWP, PA",United States,1N9,ALLENTOWN QUEEN CITY,Fatal(7),Destroyed,Airplane,N2063V,Beech,A36,No,1.0,Reciprocating,,Skydiving,,7.0,0.0,,0.0,VMC,Approach,Probable Cause,17-10-2016,7.0,,,True,7.0,1.0,True
20001213X28746,Accident,BFO89LA066,1989-07-30,"WILLIAMSBURG, VA",United States,JGG,WILLIAMSBURG,Non-Fatal,Substantial,Airplane,N4022R,Piper,PA-32-300,No,1.0,Reciprocating,,Personal,,0.0,0.0,,4.0,VMC,Landing,Probable Cause,24-04-2013,4.0,,,False,0.0,0.0,False
20001213X29904,Accident,ATL90FA040A,1989-12-17,"CINCINNATI, OH",United States,LUK,LUNKEN FIELD,Fatal(1),Substantial,Airplane,N8940T,Cessna,182,No,1.0,Reciprocating,,Unknown,,1.0,0.0,1.0,1.0,VMC,Maneuvering,Probable Cause,11-12-2012,2.0,,,False,1.0,0.5,False
20001212X22480,Accident,NYC90FA061,1990-01-29,"WILLISTON, VT",United States,BTV,BURLINGTON,Fatal(2),Destroyed,Airplane,N4688B,Cessna,208B,No,1.0,Turbo Prop,NSCH,Unknown,"Business Air, Inc.",2.0,0.0,,0.0,IMC,Takeoff,Probable Cause,01-02-2016,2.0,,,True,2.0,1.0,True
20001212X22619,Accident,NYC90FA063,1990-02-01,"FAIRFIELD, CT",United States,,,Fatal(1),Destroyed,Airplane,N83253,Piper,PA-28-181,No,1.0,Reciprocating,,Personal,,1.0,0.0,,0.0,VMC,Maneuvering,Probable Cause,01-02-2016,1.0,,,True,1.0,1.0,True
20001212X22649,Accident,ANC90LA043,1990-03-16,"SULATNA CROSS, AK",United States,,,Non-Fatal,Substantial,Airplane,N4659C,Cessna,170B,No,1.0,Reciprocating,,Personal,,0.0,0.0,,2.0,VMC,Takeoff,Probable Cause,01-07-2009,2.0,,,False,0.0,0.0,False
20001212X22846,Accident,ATL90FA095B,1990-04-09,"GADSDEN, AL",United States,,,Fatal(2),Destroyed,Airplane,N99501,Cessna,172,No,1.0,Reciprocating,,Unknown,,2.0,0.0,,7.0,VMC,Cruise,Probable Cause,17-11-2009,9.0,,,True,2.0,0.2222222222222222,True
20001212X22992,Accident,MKC90LA087,1990-04-17,"SALINA, KS",United States,SLN,SALINA,Non-Fatal,Substantial,Airplane,N714EB,Cessna,150,No,1.0,Reciprocating,,Instructional,,0.0,0.0,,2.0,VMC,Approach,Probable Cause,02-05-2011,2.0,,,False,0.0,0.0,False
20001212X23574,Accident,ANC90LA112,1990-07-05,"COLDFOOT, AK",United States,NONE,COLDFOOT STRIP,Fatal(1),Destroyed,Airplane,N6374J,Piper,PA-28-180,No,1.0,Reciprocating,,Business,,1.0,1.0,0.0,0.0,VMC,Descent,Probable Cause,19-03-2009,2.0,2.0,1.0,True,2.0,1.0,True
20001212X23773,Accident,MKC90LA146,1990-07-12,"WICHITA, KS",United States,,,Non-Fatal,Substantial,Airplane,N7295F,Piper,PA-28-140,No,1.0,Reciprocating,,Personal,,0.0,0.0,2.0,0.0,VMC,Descent,Probable Cause,02-05-2011,0.0,,,False,0.0,0.0,False
20001212X24345,Accident,NYC90FA220,1990-09-14,"PLAIN CITY, OH",United States,,,Fatal(2),Destroyed,Airplane,N95644,Cessna,152,No,1.0,Reciprocating,,Personal,,2.0,0.0,,0.0,IMC,Takeoff,Probable Cause,01-02-2016,2.0,,,True,2.0,1.0,True
20001212X24349,Accident,NYC90FA227,1990-09-23,"ELIOT, ME",United States,3B4,LITTLEBROOK,Fatal(4),Destroyed,Airplane,N8664P,Piper,PA-24-260,No,1.0,Reciprocating,,Personal,,4.0,0.0,,0.0,VMC,Takeoff,Probable Cause,01-02-2016,4.0,,,True,4.0,1.0,True
20001212X24604,Accident,DEN91LA018,1990-11-07,"ABILENE, TX",United States,NONE,,Non-Fatal,Substantial,Airplane,N6078Y,Piper,PA-23-250,No,2.0,Reciprocating,,Personal,,0.0,0.0,,3.0,IMC,Climb,Probable Cause,02-05-2011,3.0,,,False,0.0,0.0,False
20001212X16418,Accident,CHI91FA088B,1991-02-03,"OSCEOLA, WI",United States,OEO,L.O.SIMENSTAD MUNI,Fatal(7),Destroyed,Airplane,N6384A,Cessna,182,No,1.0,Reciprocating,,Skydiving,,7.0,0.0,,0.0,VMC,Climb,Probable Cause,17-10-2016,7.0,,,True,7.0,1.0,True
